,Unnamed: 0,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
1069,1069,5333,Loma de María,oil and gas,field,Argentina,-38.8159,-67.6804,Onshore,https://www.gem.wiki/Loma_de_María_Oil_and_Gas_Field_(Argentina),2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,7.0,7.0,1.563014912284142,7.0
1071,1071,5335,Loma las Yeguas,oil and gas,field,Argentina,-38.05207,-68.82809,Onshore,https://www.gem.wiki/Loma_las_Yeguas_Oil_and_Gas_Field_(Argentina),2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,13.0,13.0,2.226407878908002,13.0
1076,1076,5351,Meseta Espinosa (CGSJ-10),oil and gas,field,Argentina,-46.53353,-67.95071,Onshore,https://www.gem.wiki/Meseta_Espinosa_(CGSJ-10)_Oil_and_Gas_Field_(Argentina),2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,5.0,5.0,1.7182042110724909,5.0
1078,1078,5355,Palenque de la China,oil and gas,field,Argentina,-38.4818,-67.7349,Onshore,https://www.gem.wiki/Palenque_de_la_China_Oil_and_Gas_Field_(Argentina),2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,5.0,5.0,2.392854766205838,5.0
1079,1079,5356,Pampa de las Yeguas I,oil and gas,field,Argentina,-37.80289,-69.33514,Onshore,https://www.gem.wiki/Pampa_de_las_Yeguas_I_Oil_and_Gas_Field_(Argentina),2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,11.0,11.0,0.1449053127804946,11.0
1091,1091,5388,Sierra Barrosa,oil and gas,field,Argentina,-38.74219,-68.94625,Onshore,https://www.gem.wiki/Sierra_Barrosa_Oil_and_Gas_Field_(Argentina),2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,13.0,27.0,1.148703507406312,27.0
1093,1093,5395,Tres Picos (Chubut),oil and gas,field,Argentina,-45.88074,-68.61636,Onshore,https://www.gem.wiki/Tres_Picos_(Chubut)_Oil_and_Gas_Field_(Argentina),2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,6.0,11.0,1.171261510248246,11.0
1098,1098,5406,Harding Redevelopment,oil and gas,field,United Kingdom,59.2893,1.5325,Offshore,https://www.gem.wiki/Harding_Redevelopment_Oil_and_Gas_Field_(United_Kingdom),2016-01,2026-02,100.0,Offshore fixed platform production,True,13.0,14.0,1.4339071200197235,14.0
1099,1099,5407,Tullich Redevelopment,oil and gas,field,United Kingdom,59.2893,1.5325,Offshore,https://www.gem.wiki/Tullich_Redevelopment_Oil_and_Gas_Field_(United_Kingdom),2016-01,2026-02,,Offshore subsea tie-back systems,True,13.0,14.0,1.4339071200197235,14.0
1104,1104,5442,Melehia West Deep,oil and gas,field,Egypt,30.75963231,27.05012338,Onshore,https://www.gem.wiki/Melehia_West_Deep_Oil_and_Gas_Field_(Egypt),2019-01,2026-02,,,True,2.0,5.0,0.4876423178474597,18.0
1107,1107,5451,N'Kossa Marine,oil,field,Republic of the Congo,-5.2777,11.5553,Offshore,https://www.gem.wiki/N'Kossa_Marine_Oil_Field_(Republic_of_the_Congo),2016-01,2026-02,,Offshore FPSO-based production,True,13.0,19.0,0.8848153362100847,19.0
1131,1131,5672,Rabi,oil and gas,field,Gabon,-1.9578,9.8671,Onshore,https://www.gem.wiki/Rabi_Oil_and_Gas_Field_(Gabon),2016-01,2026-02,1000.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,13.0,24.0,0.7073608370973824,24.0
