,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
387,1855,Gift,oil and gas,field,Canada,55.782,-115.593,Onshore,"https://www.gem.wiki/Gift_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore directional drilling,True,1.0,1.0,2.978488685389719,1.0
388,1859,Glen Park,oil and gas,field,Canada,53.183,-113.805,Onshore,"https://www.gem.wiki/Glen_Park_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,5.0,5.0,2.814519991284089,5.0
389,1860,Glenevis,oil and gas,field,Canada,53.79,-114.5,Onshore,"https://www.gem.wiki/Glenevis_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,5.0,5.0,1.226293861607149,5.0
390,1878,Harmattan East,oil and gas,field,Canada,51.744,-114.345,Onshore,"https://www.gem.wiki/Harmattan_East_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,5.0,5.0,2.1592124379144297,5.0
391,1879,Harmattan-Elkton,oil and gas,field,Canada,51.704,-114.586,Onshore,"https://www.gem.wiki/Harmattan-Elkton_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,5.0,5.0,1.6703889265957783,5.0
392,1896,Jarvie,oil and gas,field,Canada,54.422,-114.072,Onshore,"https://www.gem.wiki/Jarvie_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,2.0,2.0,2.8485359542815947,2.0
393,1905,Jumping Pound,oil and gas,field,Canada,51.159,-114.579,Onshore,"https://www.gem.wiki/Jumping_Pound_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,11.0,16.0,1.6853962552859514,16.0
394,1907,Kakwa,oil and gas,field,Canada,54.451,-118.948,Onshore,"https://www.gem.wiki/Kakwa_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,1500.0,Onshore horizontal drilling (shale / tight oil),True,5.0,10.0,0.22088455537905263,10.0
395,1908,Karr,oil and gas,field,Canada,54.635,-118.35,Onshore,"https://www.gem.wiki/Karr_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore hydraulic fracturing (primary technology),True,10.0,16.0,2.246892296409737,22.0
396,1910,Kaybob South,oil and gas,field,Canada,54.173,-116.853,Onshore,"https://www.gem.wiki/Kaybob_South_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,2600.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,8.0,13.0,0.5924614199823706,13.0
397,1919,Lator,oil and gas,field,Canada,54.398,-118.283,Onshore,"https://www.gem.wiki/Lator_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,15.0,Onshore conventional vertical drilling,True,5.0,5.0,2.326034981979453,5.0
398,1925,Leland,oil and gas,field,Canada,54.094,-117.81,Onshore,"https://www.gem.wiki/Leland_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,5.0,10.0,0.7327153615820544,10.0
399,1934,Lochend,oil and gas,field,Canada,51.36,-114.411,Onshore,"https://www.gem.wiki/Lochend_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore horizontal drilling (shale / tight oil),True,5.0,5.0,1.664390397178604,5.0
